Province,Constituency,Name,Gender,Party,Votes
Bulawayo,Bulawayo Central,House Gift,M,ZPM,250
Bulawayo,Bulawayo Central,Manganda Farai Kizito,M,IND,365
Bulawayo,Bulawayo Central,Manning Edward,M,UMD,86
Bulawayo,Bulawayo Central,Manungo Tawonga,M,NPF,169
Bulawayo,Bulawayo Central,Maphosa Tembani,M,ZAPU,429
Bulawayo,Bulawayo Central,Mawaro Naki,F,ZIPP,51
Bulawayo,Bulawayo Central,Mhambi Joshua,M,ZDU,59
Bulawayo,Bulawayo Central,Mhlanga Frank,M,PRC,271
Bulawayo,Bulawayo Central,Moyo Mlungisi,M,ZANU-PF,4176
Bulawayo,Bulawayo Central,Moyo Nhlanhla,M,IND,129
Bulawayo,Bulawayo Central,Msimanga Nomathamsanqa Felizwe,F,FZC,65
Bulawayo,Bulawayo Central,Ndebele Sehliselo,F,MRP,215
Bulawayo,Bulawayo Central,Ngwenya Kholwani,M,MDC-T,1648
Bulawayo,Bulawayo Central,Sibanda Geneva,M,IND,45
Bulawayo,Bulawayo Central,Sithole Taurai,M,PPP,150
Bulawayo,Bulawayo Central,Watson Nicola Jane,F,MDC-A,11178
Bulawayo,Bulawayo Central,Zvihwa Ellen,F,CODE,50
Bulawayo,Bulawayo East,Chabgwera Memory,F,UDA,219
Bulawayo,Bulawayo East,Dagwaira Keresia,F,ZIPP,215
Bulawayo,Bulawayo East,Gumbo Mbonisi,M,MRP,292
Bulawayo,Bulawayo East,Khumalo Alick,M,ZPM,152
Bulawayo,Bulawayo East,Makulumo Nacisio Elijah,M,NPF,200
Bulawayo,Bulawayo East,Mguni Nomvula,F,MDC-T,2200
Bulawayo,Bulawayo East,Moyo Mongiwa Khabelo,M,PRC,141
Bulawayo,Bulawayo East,Moyo Sikhanyiso Welcome,M,ZDU,49
Bulawayo,Bulawayo East,Muhlwa Rodger,M,ZAPU,602
Bulawayo,Bulawayo East,Murena Elijar,M,FZC,280
Bulawayo,Bulawayo East,Ncube Benedict,M,BZA,78
Bulawayo,Bulawayo East,Ncube Cuthbert,M,ZRDP,263
Bulawayo,Bulawayo East,Nyoni Ilos,M,MDC-A,9707
Bulawayo,Bulawayo East,Shora Ernest Makandigona,M,ZANU-PF,3941
Bulawayo,Bulawayo East,Zangare Dumisani,M,UMD,127
Bulawayo,Bulawayo South,Ante Sheila,F,NPF,73
Bulawayo,Bulawayo South,Chamboko Tichaona,M,ZIPP,80
Bulawayo,Bulawayo South,Jones Clayton Carmichael,M,PRC,227
Bulawayo,Bulawayo South,Mangwendeza Muvirimi Francis,M,MDC-A,4155
Bulawayo,Bulawayo South,Matengu Rueben,M,IND,102
Bulawayo,Bulawayo South,Modi Rajeshkumar. Indukant,M,ZANU-PF,5752
Bulawayo,Bulawayo South,Mpofu Teki,M,ZDU,135
Bulawayo,Bulawayo South,Muchemwa Kunashe,M,MDC-A,2249
