Province,SER,Name,Gender,Party
Bulawayo,1,Ncube Siphiwe,F,MDC-A
Bulawayo,2,Shoko Gideon,M,MDC-A
Bulawayo,3,Zivira Helen,F,MDC-A
Bulawayo,4,Dube Mildred Reason,F,MDC-T
Bulawayo,5,Ndlovu Molly,F,ZANU-PF
Bulawayo,6,Malinga Joshua Teke,M,ZANU-PF
Harare,1,Makone Theresa Maonei,F,MDC-A
Harare,2,Mudzuri Elias,M,MDC-A
Harare,3,Gweshe Kerina,F,MDC-A
Harare,4,Femai Morgan,M,MDC-A
Harare,5,Hungwe Sipani,F,ZANU-PF
Harare,6,Chidawu Oliver,M,ZANU-PF
Manicaland,1,Rambanepasi Christine,F,MDC-A
Manicaland,2,Mwonzora Togarasei Douglas,M,MDC-A
Manicaland,3,Chabuka Keresencia,F,MDC-A
Manicaland,4,Mutsvangwa Monica,F,ZANU-PF
Manicaland,5,Nyambuya Michael Reuben,M,ZANU-PF
Manicaland,6,Gwaradzimba Ellen,F,ZANU-PF
Mashonaland Central,1,Muronzi Martha,F,MDC-A
Mashonaland Central,2,Mavhunga Monica,F,ZANU-PF
Mashonaland Central,3,Shiri Perrance,M,ZANU-PF
Mashonaland Central,4,Tongogara Angeline Kumbirai,F,ZANU-PF
Mashonaland Central,5,Chimutengwende Chenhamo Chikezha,M,ZANU-PF
Mashonaland Central,6,Chimbudzi Alice,F,ZANU-PF
Mashonaland East,1,Chifamba Jane,F,MDC-A
Mashonaland East,2,Wunganayi Tapfumanei,M,MDC-A
Mashonaland East,3,Munzverengwi Aplonia,F,ZANU-PF
Mashonaland East,4,Sekeramayi Sydney Tigere,M,ZANU-PF
Mashonaland East,5,Matiirira Address,F,ZANU-PF
Mashonaland East,6,Parirenyatwa David Pagwesese,M,ZANU-PF
Mashonaland West,1,Moeketsi Violet,F,MDC-A
Mashonaland West,2,Chinake Voice,M,MDC-A
Mashonaland West,3,Mupfumira Priscah,F,ZANU-PF
Mashonaland West,4,Gumpo Sikelela,M,ZANU-PF
Mashonaland West,5,Tsomondo Bybit,F,ZANU-PF
Mashonaland West,6,Chirongoma Joseph Madziva,M,ZANU-PF
Masvingo,1,Rwambiwa Esnath,F,MDC-A
Masvingo,2,Matevera Tichinani,M,MDC-A
Masvingo,1,Maluleke Ottillia Muhlava,F,ZANU-PF
Masvingo,2,Matuke Lovemore,M,ZANU-PF
Masvingo,3,Shumba Clara,F,ZANU-PF
Masvingo,4,Hungwe Josaya Dunira,M,ZANU-PF
Matabeleland North,1,Nyathi Rosemary,F,MDC-A
Matabeleland North,2,Sinampande Hebert,M,MDC-A
Matabeleland North,3,Ndlovu Phyllis,F,MDC-A
Matabeleland North,4,Mathuthu Thokozile,F,ZANU-PF
Matabeleland North,5,Mpofu Obert Moses,M,ZANU-PF
Matabeleland North,6,Dube Alice,F,ZANU-PF
Matabeleland South,1,Phuthi Meliwe,F,MDC-A
Matabeleland South,2,Mpofu Bekithemba,M,MDC-A
Matabeleland South,3,Mohadi Tambudzani Bidagi,F,ZANU-PF
Matabeleland South,4,Moyo Simon Khaya,M,ZANU-PF
Matabeleland South,5,Mkwebu Alma,F,ZANU-PF
Matabeleland South,6,Mathuthu Themba,M,ZANU-PF
Midlands,1,Timveos  Lilian,F,MDC-A
Midlands,2,Komichi Morgan,M,MDC-A
Midlands,3,Muzenda Veronica Tsitsi,F,ZANU-PF
Midlands,4,Moyo Sibusiso,M,ZANU-PF
Midlands,5,Mbohwa Maybe,F,ZANU-PF
Midlands,6,Mavima Lawrence David,M,ZANU-PF
